,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL
0,Data Analytics,$38.00 - $45.00 Per Hour (Employer est.),"Minimum three years experience in data science applications. Very strong preference for SAS programming experience. Pay: $38.00 - $45.00 per hour.…
Skills: Oracle, SAS, Microsoft SQL Server, SQL, OOP",3.9,J & S Consulting,"Tucker, GA",51 to 200 Employees,--,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),"https://www.glassdoor.com/job-listing/data-analytics-js-consulting-JV_IC1155701_KO0,14_KE15,28.htm?jl=1009377507502"
1,Data Scientist,$120K - $130K (Employer est.),Data science: 1 year (Preferred). Expertise in programming using Python. Working knowledge of deploying ML models as REST APIs.…,4.0,element technologies,Remote,51 to 200 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-element-technologies-JV_KO0,14_KE15,35.htm?jl=1009380490844"
2,Data Scientist,$66.82 - $80.54 Per Hour (Employer est.),"End-to-end data and model pipeline deployment and automation technologies. Propose and implement innovative solutions to streamline processes, increase……
Skills: Spark, Machine learning, Software development, Python",4.4,Boston Technology,"Malvern, PA",51 to 200 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),"https://www.glassdoor.com/job-listing/data-scientist-boston-technology-JV_IC1152639_KO0,14_KE15,32.htm?jl=1009380874898"
3,Data Engineer,$105K - $160K (Employer est.),"Communicates technical concepts to non-technical audiences both in written and verbal form. The Data Engineer is responsible for developing data pipelines and……
Skills: CI/CD, Data modeling, Azure, Oracle, XML",3.9,Costco Wholesale,"Dallas, TX",10000+ Employees,1976,Company - Public,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-engineer-costco-wholesale-JV_IC1139977_KO0,13_KE14,30.htm?jl=1009380491673"
4,Data Science Co-Op,$84K - $109K (Glassdoor est.),"Work with source control tools like GIT to save and control data. Create and use Java scripts with React for front end GUI. Minimum 3.2 GPA (must be on resume).…
Skills: Computer science, React, Git, Java, Machine learning",4.1,Hunter Engineering Company,"Bridgeton, MO",1001 to 5000 Employees,1946,Company - Private,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),"https://www.glassdoor.com/job-listing/data-science-co-op-hunter-engineering-company-JV_IC1131201_KO0,18_KE19,45.htm?jl=1009380933054"
5,DATA SCIENCE: SAP Next Talent - Rotational Program (2024 Grads),$101K - $172K (Employer est.),"Knowledge in Python, R, SQL and data science methodologies. Hands-on experience with data structures, complexity analysis, and foundation models or LLMs.…
Skills: TensorFlow, Management, Data structures, R, ERP systems",4.2,SAP,"Palo Alto, CA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-science-sap-next-talent-rotational-program-2024-grads-sap-JV_IC1147434_KO0,58_KE59,62.htm?jl=1009379550228"
6,"Product Manager, Data Science",-1,"A BA/BS degree in a related field and a minimum of 3 years of related experience; or any combination of education and experience that provides an equivalent……
Skills: Analysis skills, Project management, Machine learning, Organizational skills, Data science",3.7,Revecore,Remote,1001 to 5000 Employees,--,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/product-manager-data-science-revecore-JV_KO0,28_KE29,37.htm?jl=1009381056941"
7,Data Science,$117K - $229K (Employer est.),"Doctorate in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field AND 3+ years data-science……
Skills: Statistics, Machine learning, Data science",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-science-microsoft-JV_IC1150499_KO0,12_KE13,22.htm?jl=1009338718446"
8,Data Engineer,$63K - $105K (Glassdoor est.),"Experience with a wide range of data warehousing tools, including multiple ETL, query and reporting tools, visualization techniques, data mining tools and……
Skills: Google Suite, Data mining, Relational databases, Procurement, NoSQL",4.4,DotCMS,"Miami, FL",1 to 50 Employees,--,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-engineer-dotcms-JV_IC1154170_KO0,13_KE14,20.htm?jl=1009381356399"
9,Data Scientist,$80.00 - $100.00 Per Hour (Employer est.),"A Bachelor's degree in Data Science, Statistics, Computer Science, Business Analytics, or a closely related field is required. Data science: 4 years (Required).…
Skills: Azure, R, Google Cloud Platform, SQL, Statistical analysis",4.5,Signify Technology,Florida,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),"https://www.glassdoor.com/job-listing/data-scientist-signify-technology-JV_KO0,14_KE15,33.htm?jl=1009380549818"
